subject_id,session_id,run_id,counterbalance_group,block_id,block_order,video_id,condition_label,question_id,question_text,response_index,participant_answer,response_text,correct_answer,is_correct,reaction_time_ms,recorder_timestamp,device_sample_number
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,1,1,V3,B,V3Q1,《道德经》的作者是？,2,C,老子,C,True,4987,1789748240.7321284,152875
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,1,1,V3,B,V3Q2,《道德经》的核心思想是？,2,C,道法自然,C,True,7633,1789748240.754015,152876
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,1,1,V3,B,V3Q3,“无为而治”是哪个学派的政治主张？,1,B,道家,B,True,9487,1789748240.7586477,152876
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,1,1,V3,B,V3Q4,老子认为，世间万物运行的根本规律是什么？,2,C,道,C,True,13055,1789748240.7628875,152876
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,2,2,V4,A,V4Q1,长平之战发生在哪两个国家之间？,1,B,秦与赵,B,True,3155,1789748700.7018735,267867
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,2,2,V4,A,V4Q2,长平之战中，赵国最初的将领是谁？,1,B,赵括,A,False,18746,1789748700.7220147,267868
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,2,2,V4,A,V4Q3,长平之战中，秦国的主将是谁？,1,B,白起,B,True,13922,1789748700.7271805,267868
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,2,2,V4,A,V4Q4,长平之战对战国局势的影响是？,1,B,赵国元气大伤，秦国统一趋势加强,B,True,24596,1789748700.7314403,267868
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,3,3,V5,B,V5Q1,秦朝什么时候建立的？,1,B,公元前221年,B,True,2347,1789749401.3907506,443034
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,3,3,V5,B,V5Q2,秦始皇统一六国后，在地方上推行了什么制度来取代分封制？,1,B,郡县制,B,True,5475,1789749401.4113271,443034
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,3,3,V5,B,V5Q3,秦始皇统一后，规定全国通行的标准文字是什么？,2,C,小篆,C,True,9432,1789749401.4160516,443034
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,3,3,V5,B,V5Q4,秦始皇为促进各地经济交流，统一了以下哪一项？,0,A,统一货币为半两钱,A,True,15571,1789749401.4212391,443034
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,4,4,V6,A,V6Q1,孔子思想的核心是“仁”，根据孔子的解释，“仁”的实质是什么？,1,B,关爱他人,B,True,2863,1789749889.3093262,565020
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,4,4,V6,A,V6Q2,孔子主张“为政以德”，他认为治理国家应该以什么为主？,1,B,以道德教化为主要手段,B,True,7348,1789749889.3326027,565021
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,4,4,V6,A,V6Q3,针对当时“礼崩乐坏”的社会环境，孔子提出了什么治国方案？,1,B,礼治,B,True,11390,1789749889.3376288,565021
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,4,4,V6,A,V6Q4,孔子提出的“中庸”思想，其核心含义是什么？,1,B,做事恰到好处，不走极端,B,True,16063,1789749889.3418107,565021
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,5,5,V1,B,V1Q1,商鞅变法发生在哪个国家？,2,C,秦国,C,True,2239,1789750448.6661303,704862
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,5,5,V1,B,V1Q2,商鞅变法中，商鞅通过采取什么方法提升参军人数？,1,B,采取户籍制,B,True,8393,1789750448.692774,704862
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,5,5,V1,B,V1Q3,商鞅变法使秦国发生了怎样的变化？,1,B,国力大增，为统一六国奠定基础,B,True,20403,1789750448.698936,704862
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,5,5,V1,B,V1Q4,商鞅变法能够成功推行，离不开哪位国君的支持？,0,A,秦穆公,B,False,25655,1789750448.7039723,704862
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,6,6,V2,A,V2Q1,“百家争鸣”局面出现在哪个历史时期？,2,C,春秋战国时期,C,True,2123,1789750904.8204765,818899
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,6,6,V2,A,V2Q2,儒家学派的代表人物是？,1,B,孔子,B,True,3748,1789750904.8517041,818900
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,6,6,V2,A,V2Q3,法家的集大成者韩非子，其思想核心是？,2,C,以法治国,C,True,6915,1789750904.8570745,818900
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,6,6,V2,A,V2Q4,纵横家学派的代表人物是？,2,C,张仪,C,True,11819,1789750904.862688,818900
