subject_id,session_id,run_id,counterbalance_group,block_id,block_order,video_id,condition_label,question_id,question_text,response_index,participant_answer,response_text,correct_answer,is_correct,reaction_time_ms,recorder_timestamp,device_sample_number
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,1,1,V1,B,V1Q1,商鞅变法发生在哪个国家？,2,C,秦国,C,True,1938,1789472876.471154,150747
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,1,1,V1,B,V1Q2,商鞅变法中，商鞅通过采取什么方法提升参军人数？,1,B,采取户籍制,B,True,12154,1789472876.490167,150748
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,1,1,V1,B,V1Q3,商鞅变法使秦国发生了怎样的变化？,1,B,国力大增，为统一六国奠定基础,B,True,15778,1789472876.502965,150748
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,1,1,V1,B,V1Q4,商鞅变法能够成功推行，离不开哪位国君的支持？,1,B,秦孝公,B,True,18475,1789472876.51151,150748
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,2,2,V2,A,V2Q1,“百家争鸣”局面出现在哪个历史时期？,2,C,春秋战国时期,C,True,1326,1789473274.452664,250250
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,2,2,V2,A,V2Q2,儒家学派的代表人物是？,1,B,孔子,B,True,4850,1789473274.4669142,250250
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,2,2,V2,A,V2Q3,法家的集大成者韩非子，其思想核心是？,2,C,以法治国,C,True,8442,1789473274.4772582,250250
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,2,2,V2,A,V2Q4,纵横家学派的代表人物是？,2,C,张仪,C,True,10503,1789473274.486968,250251
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,3,3,V3,B,V3Q1,《道德经》的作者是？,2,C,老子,C,True,1527,1789473700.3124514,356722
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,3,3,V3,B,V3Q2,《道德经》的核心思想是？,2,C,道法自然,C,True,4435,1789473700.3304877,356722
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,3,3,V3,B,V3Q3,“无为而治”是哪个学派的政治主张？,1,B,道家,B,True,6703,1789473700.3418448,356722
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,3,3,V3,B,V3Q4,老子认为，世间万物运行的根本规律是什么？,2,C,道,C,True,9794,1789473700.350712,356722
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,4,4,V4,A,V4Q1,长平之战发生在哪两个国家之间？,1,B,秦与赵,B,True,1606,1789474093.1503065,454931
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,4,4,V4,A,V4Q2,长平之战中，赵国最初的将领是谁？,0,A,廉颇,A,True,4542,1789474093.1717327,454931
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,4,4,V4,A,V4Q3,长平之战中，秦国的主将是谁？,1,B,白起,B,True,6411,1789474093.1806002,454931
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,4,4,V4,A,V4Q4,长平之战对战国局势的影响是？,1,B,赵国元气大伤，秦国统一趋势加强,B,True,7939,1789474093.1885872,454931
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,5,5,V5,B,V5Q1,秦朝什么时候建立的？,1,B,公元前221年,B,True,1264,1789474572.682623,574817
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,5,5,V5,B,V5Q2,秦始皇统一六国后，在地方上推行了什么制度来取代分封制？,1,B,郡县制,B,True,4166,1789474572.7126324,574817
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,5,5,V5,B,V5Q3,秦始皇统一后，规定全国通行的标准文字是什么？,2,C,小篆,C,True,6456,1789474572.7286773,574817
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,5,5,V5,B,V5Q4,秦始皇为促进各地经济交流，统一了以下哪一项？,0,A,统一货币为半两钱,A,True,7982,1789474572.7389994,574817
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,6,6,V6,A,V6Q1,孔子思想的核心是“仁”，根据孔子的解释，“仁”的实质是什么？,1,B,关爱他人,B,True,2192,1789474972.6461554,674810
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,6,6,V6,A,V6Q2,孔子主张“为政以德”，他认为治理国家应该以什么为主？,1,B,以道德教化为主要手段,B,True,4231,1789474972.6709025,674811
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,6,6,V6,A,V6Q3,针对当时“礼崩乐坏”的社会环境，孔子提出了什么治国方案？,1,B,礼治,B,True,6982,1789474972.6815243,674811
sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,6,6,V6,A,V6Q4,孔子提出的“中庸”思想，其核心含义是什么？,1,B,做事恰到好处，不走极端,B,True,8630,1789474972.6900237,674811
