subject_id,session_id,run_id,counterbalance_group,block_id,block_order,video_id,condition_label,question_id,question_text,response_index,participant_answer,response_text,correct_answer,is_correct,reaction_time_ms,recorder_timestamp,device_sample_number
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,1,1,V2,A,V2Q1,“百家争鸣”局面出现在哪个历史时期？,2,C,春秋战国时期,C,True,2112,1789549780.8883803,110119
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,1,1,V2,A,V2Q2,儒家学派的代表人物是？,1,B,孔子,B,True,4700,1789549780.9503803,110119
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,1,1,V2,A,V2Q3,法家的集大成者韩非子，其思想核心是？,2,C,以法治国,C,True,9175,1789549780.9663801,110119
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,1,1,V2,A,V2Q4,纵横家学派的代表人物是？,1,B,邹衍,C,False,15671,1789549780.9823802,110120
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,2,2,V3,B,V3Q1,《道德经》的作者是？,2,C,老子,C,True,4623,1789550208.2943802,216971
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,2,2,V3,B,V3Q2,《道德经》的核心思想是？,2,C,道法自然,C,True,9939,1789550208.3573802,216972
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,2,2,V3,B,V3Q3,“无为而治”是哪个学派的政治主张？,1,B,道家,B,True,22059,1789550208.3723803,216972
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,2,2,V3,B,V3Q4,老子认为，世间万物运行的根本规律是什么？,2,C,道,C,True,26205,1789550208.3883803,216981
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,3,3,V4,A,V4Q1,长平之战发生在哪两个国家之间？,1,B,秦与赵,B,True,2126,1789550637.1383803,324179
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,3,3,V4,A,V4Q2,长平之战中，赵国最初的将领是谁？,0,A,廉颇,A,True,4921,1789550637.1853802,324180
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,3,3,V4,A,V4Q3,长平之战中，秦国的主将是谁？,1,B,白起,B,True,7475,1789550637.2163801,324180
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,3,3,V4,A,V4Q4,长平之战对战国局势的影响是？,1,B,赵国元气大伤，秦国统一趋势加强,B,True,11310,1789550637.2473803,324180
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,4,4,V5,B,V5Q1,秦朝什么时候建立的？,1,B,公元前221年,B,True,2153,1789551121.8573802,445357
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,4,4,V5,B,V5Q2,秦始皇统一六国后，在地方上推行了什么制度来取代分封制？,1,B,郡县制,B,True,5473,1789551121.9353802,445366
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,4,4,V5,B,V5Q3,秦始皇统一后，规定全国通行的标准文字是什么？,2,C,小篆,C,True,8577,1789551121.9503803,445366
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,4,4,V5,B,V5Q4,秦始皇为促进各地经济交流，统一了以下哪一项？,1,B,统一使用黄金,A,False,12185,1789551121.9663801,445367
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,5,5,V6,A,V6Q1,孔子思想的核心是“仁”，根据孔子的解释，“仁”的实质是什么？,1,B,关爱他人,B,True,6853,1789551542.5443802,550534
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,5,5,V6,A,V6Q2,孔子主张“为政以德”，他认为治理国家应该以什么为主？,1,B,以道德教化为主要手段,B,True,11753,1789551542.6073802,550539
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,5,5,V6,A,V6Q3,针对当时“礼崩乐坏”的社会环境，孔子提出了什么治国方案？,1,B,礼治,B,True,21477,1789551542.6383803,550539
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,5,5,V6,A,V6Q4,孔子提出的“中庸”思想，其核心含义是什么？,1,B,做事恰到好处，不走极端,B,True,26153,1789551542.6543803,550540
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,6,6,V1,B,V1Q1,商鞅变法发生在哪个国家？,2,C,秦国,C,True,2509,1789551990.3573802,662486
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,6,6,V1,B,V1Q2,商鞅变法中，商鞅通过采取什么方法提升参军人数？,2,C,废除井田制,B,False,7729,1789551990.4353802,662486
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,6,6,V1,B,V1Q3,商鞅变法使秦国发生了怎样的变化？,1,B,国力大增，为统一六国奠定基础,B,True,13373,1789551990.4663801,662487
sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,6,6,V1,B,V1Q4,商鞅变法能够成功推行，离不开哪位国君的支持？,1,B,秦孝公,B,True,16577,1789551990.4823802,662487
